date,value
20180430,0.000107847962458
20180501,0.000110697680626
20180502,0.000116738536413
20180503,8.81555618024339E-05
20180505,7.87609420553013E-05
20180506,0.000105799764003
20180507,0.000206447963913
20180508,0.000209576609295
20180509,0.000119671997864
20180510,0.000142257635792
20180511,7.8396157136765E-05
20180512,0.000126974552535
20180513,0.000293608222689
20180514,0.000185817927122
20180515,0.00036258790642
20180516,0.000162403116811
20180517,0.000151735318538
20180518,0.000122874013347
20180519,4.43839584477245E-05
20180520,6.54369699380671E-05
20180521,7.90191814303398E-05
20180522,6.58320424997288E-05
20180523,0.000208086775322
20180524,0.00010401640947
20180525,9.31063084863126E-05
20180526,0.00025523141122
20180527,0.000194867673729
20180528,0.000214079767466
20180529,0.000120800733566
20180530,9.50219461096907E-05
20180531,9.48453144658179E-05
20180601,0.000183246203892
20180602,0.00010399083392
20180603,0.000190149677256
20180604,7.82396192803527E-05
20180605,0.000164785310626
20180606,6.99811563309695E-05
20180607,7.58308165690355E-05
20180608,0.000141095578376
20180609,0.000209182978441
20180610,0.000138327467422
20180611,0.000331158519952
20180612,0.000120433472228
20180613,0.000105119067366
20180616,0.000133351460099
20180617,0.000276905726641
20180618,0.000176400486981
20180619,0.000161629861161
20180620,0.000238080490746
20180621,0.000153896307536
20180622,0.000429145619273
20180623,8.65789130330085E-05
20180624,0.000183929074952
20180625,0.000263278300946
20180626,0.00018640927377
20180627,0.000174549575417
20180628,7.24861255058875E-05
20180629,0.000126803306242
20180630,0.00010704945538
20180630,0.000161777837607
20180701,0.000200304829953
20180702,8.81025553098879E-05
20180703,0.000156563280498
20180704,0.000221606308506
20180705,0.000170921485098
20180706,0.00033882165712
20180707,0.000146602055118
20180708,0.00012024929747
20180709,0.000121496769847
20180710,9.99530210443165E-05
20180711,0.0001354429061
20180712,0.000322073747061
20180713,9.05018299818039E-05
20180714,0.000108831538222
20180715,0.000196318167287
20180716,0.000102857111005
20180717,0.000138270042309
20180718,9.32730035856366E-05
20180719,7.32907915095749E-05
20180720,6.23312468330065E-05
20180721,0.000122288830186
20180722,6.55222684144973E-05
20180723,0.000101380161941
20180724,7.11482902988791E-05
20180725,0.000118032009119
20180726,0.000124167607008
20180727,0.000126118096066
20180727,0.000154778165253
20180728,0.000101141786824
20180729,0.000109280477844
20180730,9.51532072023205E-05
20180731,9.78641292971113E-05
20180801,0.000126195040842
20180802,7.19664152711629E-05
20180803,0.000115335755982
20180804,6.99620669413554E-05
20180805,9.17856648032154E-05
20180806,9.70654396547211E-05
20180807,0.000137744866231
20180808,6.45451877704438E-05
20180809,7.74923353814161E-05
20180810,0.000103908046237
20180811,0.000109080721935
20180812,0.000116744484272
20180813,9.97057929635047E-05
20180814,0.000104321341496
20180815,0.000107653439045
20180816,0.000113527919795
20180817,9.36177000403404E-05
20180818,7.52977385009462E-05
20180819,9.1587352316554E-05
20180820,8.66854276794653E-05
20180821,0.000104409684469
20180822,0.000119116495956
20180823,9.91540778752254E-05
20180824,0.000105620473623
20180825,9.55214546549887E-05
